1	2	5	7	9	23	29	Jan
3	4	16	23	25	26	28	Fev
9	20	22	23	27	30	31	Mar
1	2	6	8	9	17	21	Abr
8	17	18	20	25	27	29	Mai
10	14	16	19	25	27	31	Jun
11	15	17	19	23	26	28	Jul
9	10	11	12	13	14	19	Ago
1	4	5	9	11	22	27	Set
1	2	18	19	20	21	31	Out
8	13	18	23	24	29	30	Nov
6	7	9	16	23	28	30	Dez
6	7	8	23	24	28	31	Jan
2	12	14	15	18	22	31	Fev
2	3	5	12	17	18	29	Mar
3	5	7	16	20	29	30	Abr
2	6	9	21	24	28	30	Mai
1	3	7	15	17	19	21	Jun
3	5	8	13	15	22	30	Jul
4	8	10	16	20	23	25	Ago
5	6	13	14	26	27	31	Set
4	6	7	19	25	29	30	Out
7	9	10	12	14	16	18	Nov
11	12	13	17	18	22	24	Dez
7	8	11	12	23	24	27	Jan
4	5	10	11	15	26	28	Fev
7	12	14	19	21	22	24	Mar
4	10	17	19	20	25	26	Abr
2	6	11	13	20	27	31	Mai
1	4	12	15	21	26	28	Jun
